File 1,File 2,Model Prediction
slow_samples/Law-of-cosines---triples/law-of-cosines---triples-2.py,slow_samples/Law-of-cosines---triples/law-of-cosines---triples-1.py,1
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-5.py,slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-3.py,1
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-5.py,slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-2.py,1
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-5.py,slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-1.py,1
slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-5.py,slow_samples/Abundant-deficient-and-perfect-number-classifications/abundant-deficient-and-perfect-number-classifications-4.py,1
slow_samples/Greedy-algorithm-for-Egyptian-fractions/greedy-algorithm-for-egyptian-fractions-2.py,slow_samples/Greedy-algorithm-for-Egyptian-fractions/greedy-algorithm-for-egyptian-fractions-1.py,1
slow_samples/Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors/numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors-2.py,slow_samples/Numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors/numbers-which-are-the-cube-roots-of-the-product-of-their-proper-divisors-1.py,1
slow_samples/Super-d-numbers/super-d-numbers-1.py,slow_samples/Super-d-numbers/super-d-numbers-2.py,2
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-2.py,slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-5.py,2
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-2.py,slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-1.py,1
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-2.py,slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-4.py,2
slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-2.py,slow_samples/Color-of-a-screen-pixel/color-of-a-screen-pixel-3.py,2
slow_samples/Perfect-numbers/perfect-numbers-3.py,slow_samples/Perfect-numbers/perfect-numbers-4.py,1
slow_samples/Perfect-numbers/perfect-numbers-3.py,slow_samples/Perfect-numbers/perfect-numbers-1.py,2
slow_samples/Perfect-numbers/perfect-numbers-3.py,slow_samples/Perfect-numbers/perfect-numbers-2.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-15.py,2
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-11.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-14.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-1.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-5.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-4.py,2
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-7.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-3.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-2.py,2
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-6.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-18.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-13.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-17.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-9.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-16.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-8.py,1
slow_samples/Fibonacci-sequence/fibonacci-sequence-10.py,slow_samples/Fibonacci-sequence/fibonacci-sequence-12.py,2
slow_samples/Total-circles-area/total-circles-area-3.py,slow_samples/Total-circles-area/total-circles-area-2.py,1
slow_samples/Total-circles-area/total-circles-area-3.py,slow_samples/Total-circles-area/total-circles-area-1.py,1
slow_samples/Total-circles-area/total-circles-area-3.py,slow_samples/Total-circles-area/total-circles-area-4.py,2
slow_samples/Fusc-sequence/fusc-sequence-2.py,slow_samples/Fusc-sequence/fusc-sequence-1.py,1
slow_samples/Last-letter-first-letter/last-letter-first-letter-1.py,slow_samples/Last-letter-first-letter/last-letter-first-letter-2.py,2
slow_samples/15-puzzle-solver/15-puzzle-solver-1.py,slow_samples/15-puzzle-solver/15-puzzle-solver-3.py,1
slow_samples/15-puzzle-solver/15-puzzle-solver-1.py,slow_samples/15-puzzle-solver/15-puzzle-solver-2.py,2
slow_samples/Proper-divisors/proper-divisors-4.py,slow_samples/Proper-divisors/proper-divisors-1.py,1
slow_samples/Proper-divisors/proper-divisors-4.py,slow_samples/Proper-divisors/proper-divisors-2.py,1
slow_samples/100-prisoners/100-prisoners-1.py,slow_samples/100-prisoners/100-prisoners-2.py,2
slow_samples/Sorting-algorithms-Sleep-sort/sorting-algorithms-sleep-sort-1.py,slow_samples/Sorting-algorithms-Sleep-sort/sorting-algorithms-sleep-sort-2.py,1
slow_samples/Narcissistic-decimal-number/narcissistic-decimal-number-1.py,slow_samples/Narcissistic-decimal-number/narcissistic-decimal-number-2.py,2
slow_samples/Narcissistic-decimal-number/narcissistic-decimal-number-1.py,slow_samples/Narcissistic-decimal-number/narcissistic-decimal-number-3.py,1
slow_samples/Abundant-odd-numbers/abundant-odd-numbers-2.py,slow_samples/Abundant-odd-numbers/abundant-odd-numbers-1.py,2
slow_samples/Vampire-number/vampire-number-1.py,slow_samples/Vampire-number/vampire-number-2.py,1
slow_samples/The-sieve-of-Sundaram/the-sieve-of-sundaram-1.py,slow_samples/The-sieve-of-Sundaram/the-sieve-of-sundaram-2.py,1
slow_samples/Paraffins/paraffins-3.py,slow_samples/Paraffins/paraffins-1.py,1
slow_samples/Eulers-sum-of-powers-conjecture/eulers-sum-of-powers-conjecture-2.py,slow_samples/Eulers-sum-of-powers-conjecture/eulers-sum-of-powers-conjecture-3.py,1
slow_samples/Eulers-sum-of-powers-conjecture/eulers-sum-of-powers-conjecture-2.py,slow_samples/Eulers-sum-of-powers-conjecture/eulers-sum-of-powers-conjecture-4.py,2
slow_samples/Non-transitive-dice/non-transitive-dice-1.py,slow_samples/Non-transitive-dice/non-transitive-dice-2.py,2
